,title,score,plot,keywords,tokens,id
0,Um Sonho de Liberdade,9.3,"Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.",prison based on the works of stephen king escape from prison friendship between men voice over narration suicide by hanging 1940s police brutality prison cell search wrongful conviction suicide life imprisonment infidelity plot twist suicide of villain prison yard unfaithful wife solitary confinement based on novella tunneling to freedom reference to rita hayworth parole hearing prison guard voice over letter suicide by gunshot suicide of friend missing prisoner not guilty reference to fort hancock texas redemption carving tin box maggot trial surprise ending male nudity first person narration rita hayworth poster prison library parole board biblical quote sexual assault gay rape 1950s watching a movie talking to a bird vinyl record record player banker betting,"['cours', 'year', 'convict', 'form', 'friendship', 'seek', 'consol', 'eventu', 'redempt', 'basic', 'compass', 'prison', 'base', 'work', 'stephen', 'king', 'escap', 'prison', 'friendship', 'men', 'voic', 'narrat', 'suicid', 'hang', 'polic', 'brutal', 'prison', 'cell', 'search', 'wrong', 'convict', 'suicid', 'life', 'imprison', 'infidel', 'plot', 'twist', 'suicid', 'villain', 'prison', 'yard', 'unfaith', 'wife', 'solitari', 'confin', 'base', 'novella', 'tunnel', 'freedom', 'refer', 'rita', 'hayworth', 'parol', 'hear', 'prison', 'guard', 'voic', 'letter', 'suicid', 'gunshot', 'suicid', 'friend', 'miss', 'prison', 'guilti', 'refer', 'fort', 'hancock', 'texa', 'redempt', 'carv', 'tin', 'box', 'maggot', 'trial', 'surpris', 'end', 'male', 'nuditi', 'person', 'narrat', 'rita', 'hayworth', 'poster', 'prison', 'librari', 'parol', 'board', 'biblic', 'quot', 'sexual', 'assault', 'gai', 'rape', 'watch', 'movi', 'talk', 'bird', 'vinyl', 'record', 'record', 'player', 'banker', 'bet']",tt0111161
1,O Poderoso Chefão,9.2,"Don Vito Corleone, head of a mafia family, decides to hand over his empire to his youngest son Michael. However, his decision unintentionally puts the lives of his loved ones in grave danger.",mafia patriarch crime family organized crime rise to power gambling syndicate part of trilogy gangster father son relationship wedding revenge violence mob boss professional hit murder corrupt cop crime boss gang war shooting cop killer gang warfare epic death of title character mob hit 1940s 1950s machine gun italy severed horse's head dysfunctional family first of series criminal death husband hits wife mercilessness mob summit police officer shot manhattan new york city bronx new york city new york city family relationships thompson gun police officer killed brother sister relationship brother brother relationship betrayal based on novel beating casino italian american,"['vito', 'corleon', 'head', 'mafia', 'famili', 'decid', 'hand', 'empir', 'youngest', 'son', 'michael', 'decis', 'unintention', 'put', 'live', 'love', 'on', 'grave', 'danger', 'mafia', 'patriarch', 'crime', 'famili', 'organ', 'crime', 'rise', 'power', 'gambl', 'syndic', 'trilogi', 'gangster', 'father', 'son', 'relationship', 'wed', 'reveng', 'violenc', 'mob', 'boss', 'profession', 'hit', 'murder', 'corrupt', 'cop', 'crime', 'boss', 'gang', 'war', 'shoot', 'cop', 'killer', 'gang', 'warfar', 'epic', 'death', 'titl', 'charact', 'mob', 'hit', 'machin', 'gun', 'itali', 'sever', 'hors', 'head', 'dysfunct', 'famili', 'seri', 'crimin', 'death', 'husband', 'hit', 'wife', 'merciless', 'mob', 'summit', 'polic', 'offic', 'shot', 'manhattan', 'new', 'york', 'citi', 'bronx', 'new', 'york', 'citi', 'new', 'york', 'citi', 'famili', 'relationship', 'thompson', 'gun', 'polic', 'offic', 'kill', 'brother', 'sister', 'relationship', 'brother', 'brother', 'relationship', 'betray', 'base', 'novel', 'beat', 'casino', 'italian', 'american']",tt0068646
2,Batman: O Cavaleiro das Trevas,9.0,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",dc comics psychopath moral dilemma clown superhero criminal mastermind scarred face clown mask dual identity based on comic book psychological manipulation batmobile electronic music score second part star died before release evil clown opening action scene evil man disfigurement sequel sequel to a reboot joker character urban setting money skyscraper human monster race against time mob boss super villain jujitsu face paint clown face billionaire tragic hero batman character bruce wayne character organized crime neo noir hero alfred pennyworth character barbara gordon character harvey dent character no opening credits electronic music score in style of orchestral music score no title at beginning title at the end love triangle mysterious man tragic past mobster,"['menac', 'known', 'joker', 'wreak', 'havoc', 'chao', 'peopl', 'gotham', 'batman', 'accept', 'greatest', 'psycholog', 'physic', 'test', 'abil', 'fight', 'injustic', 'comic', 'psychopath', 'moral', 'dilemma', 'clown', 'superhero', 'crimin', 'mastermind', 'scar', 'face', 'clown', 'mask', 'dual', 'ident', 'base', 'comic', 'book', 'psycholog', 'manipul', 'batmobil', 'electron', 'music', 'score', 'second', 'star', 'di', 'releas', 'evil', 'clown', 'open', 'action', 'scene', 'evil', 'man', 'disfigur', 'sequel', 'sequel', 'reboot', 'joker', 'charact', 'urban', 'set', 'monei', 'skyscrap', 'human', 'monster', 'race', 'time', 'mob', 'boss', 'super', 'villain', 'jujitsu', 'face', 'paint', 'clown', 'face', 'billionair', 'tragic', 'hero', 'batman', 'charact', 'bruce', 'wayn', 'charact', 'organ', 'crime', 'neo', 'noir', 'hero', 'alfr', 'pennyworth', 'charact', 'barbara', 'gordon', 'charact', 'harvei', 'dent', 'charact', 'open', 'credit', 'electron', 'music', 'score', 'style', 'orchestr', 'music', 'score', 'titl', 'begin', 'titl', 'end', 'love', 'triangl', 'mysteri', 'man', 'tragic', 'past', 'mobster']",tt0468569
3,O Poderoso Chefão II,9.0,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",revenge 1950s corrupt politician cuban revolution lake tahoe nevada mafia fratricide new year's eve suicide neo noir anti hero american dream sicily sicilian mafia sicilian sicilian american italian immigrant sicilian immigrant murder of a prostitute mother son relationship cuba murder assassination gang war death of brother flashback protection racket garrote melancholy immigrant gangster las vegas nevada bar government hearing brother sister relationship brother brother relationship immigration witness protection ethnic slur senator orphan sequel miami florida havana cuba italian american extortion senate crime committee abortion crime epic 1960s,"['earli', 'life', 'career', 'vito', 'corleon', 'new', 'york', 'citi', 'portrai', 'son', 'michael', 'expand', 'tighten', 'grip', 'famili', 'crime', 'syndic', 'reveng', 'corrupt', 'politician', 'cuban', 'revolut', 'lake', 'taho', 'nevada', 'mafia', 'fratricid', 'new', 'year', 'ev', 'suicid', 'neo', 'noir', 'anti', 'hero', 'american', 'dream', 'sicili', 'sicilian', 'mafia', 'sicilian', 'sicilian', 'american', 'italian', 'immigr', 'sicilian', 'immigr', 'murder', 'prostitut', 'mother', 'son', 'relationship', 'cuba', 'murder', 'assassin', 'gang', 'war', 'death', 'brother', 'flashback', 'protect', 'racket', 'garrot', 'melancholi', 'immigr', 'gangster', 'la', 'vega', 'nevada', 'bar', 'govern', 'hear', 'brother', 'sister', 'relationship', 'brother', 'brother', 'relationship', 'immigr', 'wit', 'protect', 'ethnic', 'slur', 'senat', 'orphan', 'sequel', 'miami', 'florida', 'havana', 'cuba', 'italian', 'american', 'extort', 'senat', 'crime', 'committe', 'abort', 'crime', 'epic']",tt0071562
4,12 Homens e uma Sentença,9.0,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.,jury dialogue driven courtroom trial jury room justice single set production prejudice judicial system ensemble cast all male cast racism deliberation doubt reasonable doubt discussion jury duty homicide argument heat wave law switchblade evidence single location race relations real time three word title all male jury rainstorm advertising executive murder trial acquittal man wears eyeglasses defiance gender in title vote influence directorial debut watchmaker father son estrangement new york city miscarriage of justice conversation stockbroker salesman restroom photograph coach bank clerk architect,"['juri', 'new', 'york', 'citi', 'murder', 'trial', 'frustrat', 'singl', 'member', 'skeptic', 'caution', 'forc', 'carefulli', 'consid', 'evid', 'jump', 'hasti', 'verdict', 'juri', 'dialogu', 'driven', 'courtroom', 'trial', 'juri', 'room', 'justic', 'singl', 'set', 'product', 'prejudic', 'judici', 'ensembl', 'cast', 'male', 'cast', 'racism', 'deliber', 'doubt', 'reason', 'doubt', 'discuss', 'juri', 'duti', 'homicid', 'argument', 'heat', 'wave', 'law', 'switchblad', 'evid', 'singl', 'locat', 'race', 'relat', 'real', 'time', 'word', 'titl', 'male', 'juri', 'rainstorm', 'advertis', 'execut', 'murder', 'trial', 'acquitt', 'man', 'wear', 'eyeglass', 'defianc', 'gender', 'titl', 'vote', 'influenc', 'directori', 'debut', 'watchmak', 'father', 'son', 'estrang', 'new', 'york', 'citi', 'miscarriag', 'justic', 'convers', 'stockbrok', 'salesman', 'restroom', 'photograph', 'coach', 'bank', 'clerk', 'architect']",tt0050083
5,A Lista de Schindler,9.0,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",holocaust nazi nazi concentration camp jew german jewish concentration camp world war two auschwitz german soldier based on true story accountant list anti semitism krakow poland 1940s nazi soldier nazi occupied poland sadistic cruelty worker death ghetto identification papers schindler jews pistol nazi party member shot in the head mass grave death camp liberation concentration camp survivor tragic hero racism good versus evil rescue rabbi 1930s gratitude shower swastika enamelware subjective camera hate what happened to epilogue cracow poland nazi officer nazi uniform genocide character's point of view camera shot anti nazi,"['german', 'occupi', 'poland', 'world', 'war', 'industrialist', 'oskar', 'schindler', 'gradual', 'concern', 'jewish', 'workforc', 'wit', 'persecut', 'nazi', 'holocaust', 'nazi', 'nazi', 'concentr', 'camp', 'jew', 'german', 'jewish', 'concentr', 'camp', 'world', 'war', 'auschwitz', 'german', 'soldier', 'base', 'true', 'stori', 'account', 'list', 'anti', 'semit', 'krakow', 'poland', 'nazi', 'soldier', 'nazi', 'occupi', 'poland', 'sadist', 'cruelti', 'worker', 'death', 'ghetto', 'identif', 'paper', 'schindler', 'jew', 'pistol', 'nazi', 'parti', 'member', 'shot', 'head', 'mass', 'grave', 'death', 'camp', 'liber', 'concentr', 'camp', 'survivor', 'tragic', 'hero', 'racism', 'good', 'versu', 'evil', 'rescu', 'rabbi', 'gratitud', 'shower', 'swastika', 'enamelwar', 'subject', 'camera', 'hate', 'happen', 'epilogu', 'cracow', 'poland', 'nazi', 'offic', 'nazi', 'uniform', 'genocid', 'charact', 'point', 'view', 'camera', 'shot', 'anti', 'nazi']",tt0108052
6,O Senhor dos Anéis: O Retorno do Rei,9.0,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,journey orc middle earth hobbit ring battle quest good versus evil epic king wizard fate falling into lava race against time lava volcano volcanic eruption curse courage elrond character galadriel character legolas character gollum character frodo baggins character saruman the white character orcs character gandalf character elves character bilbo baggins character third part sequel male protagonist violence ensemble cast battleaxe tree dead tree barefoot swordsman mountain royal death bowing throne fireplace hatred army flying creature ruins ambush,"['gandalf', 'aragorn', 'lead', 'world', 'men', 'sauron', 'armi', 'draw', 'gaze', 'frodo', 'sam', 'approach', 'mount', 'doom', 'ring', 'journei', 'orc', 'middl', 'earth', 'hobbit', 'ring', 'battl', 'quest', 'good', 'versu', 'evil', 'epic', 'king', 'wizard', 'fate', 'fall', 'lava', 'race', 'time', 'lava', 'volcano', 'volcan', 'erupt', 'curs', 'courag', 'elrond', 'charact', 'galadriel', 'charact', 'legola', 'charact', 'gollum', 'charact', 'frodo', 'baggin', 'charact', 'saruman', 'white', 'charact', 'orc', 'charact', 'gandalf', 'charact', 'elv', 'charact', 'bilbo', 'baggin', 'charact', 'sequel', 'male', 'protagonist', 'violenc', 'ensembl', 'cast', 'battleax', 'tree', 'dead', 'tree', 'barefoot', 'swordsman', 'mountain', 'royal', 'death', 'bow', 'throne', 'fireplac', 'hatr', 'armi', 'fly', 'creatur', 'ruin', 'ambush']",tt0167260
7,Pulp Fiction: Tempo de Violência,8.9,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",nonlinear timeline overdose drug use drug overdose drug dealing neo noir rape car accident anal rape black comedy violence dance contest gangster marijuana joint shootout drug dealer drug snorting heroin male rape cunnilingus postmodern bondage restaurant robbery tied to a chair ball gag hit by a car corpse strip club double cross on the run murder oral sex dark comedy 1990s boxer rapist motel brutality bible quote bound and gagged sexual violence sex slave scantily clad female torture ensemble cast male nudity serial rapist mob professional killer sexual assault,"['live', 'mob', 'hitmen', 'boxer', 'gangster', 'wife', 'pair', 'diner', 'bandit', 'intertwin', 'tale', 'violenc', 'redempt', 'nonlinear', 'timelin', 'overdos', 'drug', 'us', 'drug', 'overdos', 'drug', 'deal', 'neo', 'noir', 'rape', 'car', 'accid', 'anal', 'rape', 'black', 'comedi', 'violenc', 'danc', 'contest', 'gangster', 'marijuana', 'joint', 'shootout', 'drug', 'dealer', 'drug', 'snort', 'heroin', 'male', 'rape', 'cunnilingu', 'postmodern', 'bondag', 'restaur', 'robberi', 'ti', 'chair', 'ball', 'gag', 'hit', 'car', 'corps', 'strip', 'club', 'doubl', 'cross', 'run', 'murder', 'oral', 'sex', 'dark', 'comedi', 'boxer', 'rapist', 'motel', 'brutal', 'bibl', 'quot', 'bound', 'gag', 'sexual', 'violenc', 'sex', 'slave', 'scantili', 'clad', 'femal', 'tortur', 'ensembl', 'cast', 'male', 'nuditi', 'serial', 'rapist', 'mob', 'profession', 'killer', 'sexual', 'assault']",tt0110912
8,O Senhor dos Anéis: A Sociedade do Anel,8.8,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,ring quest hobbit middle earth elf orc based on novel saving the world wizard lord of the rings riddle hidden door warrior friendship sword fight epic voice over narration magic forced perspective trilogy doom volcano forest river sword and fantasy axe fight fictional language evil wizard tower giant bird fireworks campfire temptation staff moth magical ring healing council broken sword honor monster fortress horseback chase armor castle troll courage loyalty abyss good versus evil,"['meek', 'hobbit', 'shire', 'companion', 'set', 'journei', 'destroi', 'power', 'ring', 'save', 'middl', 'earth', 'dark', 'lord', 'sauron', 'ring', 'quest', 'hobbit', 'middl', 'earth', 'elf', 'orc', 'base', 'novel', 'save', 'world', 'wizard', 'lord', 'ring', 'riddl', 'hidden', 'door', 'warrior', 'friendship', 'sword', 'fight', 'epic', 'voic', 'narrat', 'magic', 'forc', 'perspect', 'trilogi', 'doom', 'volcano', 'forest', 'river', 'sword', 'fantasi', 'ax', 'fight', 'fiction', 'languag', 'evil', 'wizard', 'tower', 'giant', 'bird', 'firework', 'campfir', 'temptat', 'staff', 'moth', 'magic', 'ring', 'heal', 'council', 'broken', 'sword', 'honor', 'monster', 'fortress', 'horseback', 'chase', 'armor', 'castl', 'troll', 'courag', 'loyalti', 'abyss', 'good', 'versu', 'evil']",tt0120737
9,Três Homens em Conflito,8.8,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,shootout spaghetti western man with no name civil war third in trilogy famous opening theme italo western outlaw third part sequel sequel to cult favorite part of trilogy mexico wild west dollars trilogy cult film moral ambiguity hitman cowboy gold new mexico territory arizona desert arizona arizona territory warrior extreme close up close up of eyes cult director famous score deception greed loner drifter assassin gun violence texas grave digging marauder western hero cult western cult classic explosion epic duster small town anti hero american civil war desert showdown bandit,"['bounti', 'hunt', 'scam', 'join', 'men', 'uneasi', 'allianc', 'race', 'fortun', 'gold', 'buri', 'remot', 'cemeteri', 'shootout', 'spaghetti', 'western', 'man', 'civil', 'war', 'trilogi', 'famou', 'open', 'theme', 'italo', 'western', 'outlaw', 'sequel', 'sequel', 'cult', 'favorit', 'trilogi', 'mexico', 'wild', 'west', 'dollar', 'trilogi', 'cult', 'film', 'moral', 'ambigu', 'hitman', 'cowboi', 'gold', 'new', 'mexico', 'territori', 'arizona', 'desert', 'arizona', 'arizona', 'territori', 'warrior', 'extrem', 'close', 'close', 'ey', 'cult', 'director', 'famou', 'score', 'decept', 'greed', 'loner', 'drifter', 'assassin', 'gun', 'violenc', 'texa', 'grave', 'dig', 'maraud', 'western', 'hero', 'cult', 'western', 'cult', 'classic', 'explos', 'epic', 'duster', 'small', 'town', 'anti', 'hero', 'american', 'civil', 'war', 'desert', 'showdown', 'bandit']",tt0060196
